Size,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
N_operations_naive,1,10,49,52,211,214,229,232,871,874,889,892,955,958,973
N_operations_karatsuba,1,15,63,69,219,225,249,255,711,717,741,747,825,831,855
